Country,LanguageDesireNextYear,LanguageDesireNextYearCount
Bangladesh,SQL,213.0
Bangladesh,Scala,24.0
Bangladesh,Swift,47.0
Bangladesh,TypeScript,140.0
Bangladesh,VBA,10.0
Barbados,Bash/Shell/PowerShell,1.0
Barbados,C++,1.0
Barbados,Dart,1.0
Barbados,Go,1.0
Barbados,HTML/CSS,3.0
Barbados,JavaScript,2.0
Barbados,PHP,1.0
Barbados,Python,2.0
Barbados,Ruby,1.0
Barbados,Rust,1.0
Barbados,SQL,2.0
Barbados,Scala,1.0
Barbados,TypeScript,1.0
Belarus,Assembly,3.0
Belarus,Bash/Shell/PowerShell,27.0
Belarus,C,11.0
Belarus,C#,29.0
Belarus,C++,20.0
Belarus,Dart,5.0
Belarus,Go,18.0
Belarus,HTML/CSS,34.0
Belarus,Haskell,5.0
Belarus,Java,25.0
Belarus,JavaScript,51.0
Belarus,Kotlin,15.0
Belarus,Objective-C,2.0
Belarus,PHP,6.0
Belarus,Perl,2.0
Belarus,Python,45.0
Belarus,R,5.0
Belarus,Ruby,8.0
Belarus,Rust,16.0
Belarus,SQL,37.0
Belarus,Scala,9.0
Belarus,Swift,8.0
Belarus,TypeScript,38.0
Belarus,VBA,2.0
Belgium,Assembly,22.0
Belgium,Bash/Shell/PowerShell,105.0
Belgium,C,43.0
Belgium,C#,123.0
Belgium,C++,73.0
Belgium,Dart,23.0
Belgium,Go,66.0
Belgium,HTML/CSS,191.0
Belgium,Haskell,17.0
Belgium,Java,113.0
Belgium,JavaScript,205.0
Belgium,Julia,4.0
Belgium,Kotlin,64.0
Belgium,Objective-C,7.0
Belgium,PHP,64.0
Belgium,Perl,2.0
Belgium,Python,171.0
Belgium,R,17.0
Belgium,Ruby,18.0
Belgium,Rust,67.0
Belgium,SQL,174.0
Belgium,Scala,23.0
Belgium,Swift,28.0
Belgium,TypeScript,139.0
Belgium,VBA,8.0
Belize,Assembly,1.0
Belize,Bash/Shell/PowerShell,1.0
Belize,C,2.0
Belize,C#,2.0
Belize,C++,2.0
Belize,Dart,1.0
Belize,Go,3.0
Belize,HTML/CSS,3.0
Belize,Java,3.0
Belize,JavaScript,3.0
Belize,Kotlin,2.0
Belize,Objective-C,2.0
Belize,PHP,3.0
Belize,Python,2.0
Belize,R,1.0
Belize,SQL,2.0
Belize,Swift,2.0
Belize,TypeScript,2.0
Belize,VBA,2.0
Benin,Assembly,1.0
Benin,Bash/Shell/PowerShell,1.0
Benin,C,3.0
Benin,C#,2.0
Benin,C++,2.0
Benin,Dart,3.0
Benin,Go,2.0
Benin,HTML/CSS,5.0
Benin,Java,3.0
Benin,JavaScript,5.0
Benin,Kotlin,5.0
Benin,PHP,5.0
Benin,Perl,1.0
Benin,Python,7.0
Benin,R,3.0
Benin,Ruby,1.0
Benin,SQL,6.0
Benin,Scala,1.0
Benin,Swift,1.0
Benin,TypeScript,3.0
Bhutan,Dart,1.0
Bhutan,Go,2.0
Bhutan,HTML/CSS,2.0
Bhutan,Java,1.0
Bhutan,JavaScript,2.0
Bhutan,Kotlin,1.0
Bhutan,PHP,1.0
Bhutan,Python,3.0
Bhutan,R,2.0
Bhutan,Ruby,1.0
Bhutan,Swift,1.0
Bhutan,TypeScript,2.0
Bolivia,Assembly,3.0
Bolivia,Bash/Shell/PowerShell,6.0
Bolivia,C,4.0
Bolivia,C#,14.0
Bolivia,C++,2.0
Bolivia,Dart,7.0
Bolivia,Go,5.0
Bolivia,HTML/CSS,16.0
Bolivia,Haskell,4.0
Bolivia,Java,11.0
Bolivia,JavaScript,20.0
Bolivia,Julia,1.0
Bolivia,Kotlin,9.0
Bolivia,Objective-C,2.0
Bolivia,PHP,4.0
Bolivia,Perl,1.0
Bolivia,Python,20.0
Bolivia,R,5.0
Bolivia,Ruby,3.0
Bolivia,Rust,3.0
Bolivia,SQL,14.0
Bolivia,Scala,4.0
Bolivia,Swift,3.0
Bolivia,TypeScript,18.0
Bolivia,VBA,2.0
Bosnia and Herzegovina,Assembly,1.0
Bosnia and Herzegovina,Bash/Shell/PowerShell,11.0
Bosnia and Herzegovina,C,7.0
Bosnia and Herzegovina,C#,32.0
Bosnia and Herzegovina,C++,12.0
Bosnia and Herzegovina,Dart,7.0
Bosnia and Herzegovina,Go,14.0
Bosnia and Herzegovina,HTML/CSS,40.0
Bosnia and Herzegovina,Haskell,3.0
Bosnia and Herzegovina,Java,25.0
Bosnia and Herzegovina,JavaScript,51.0
Bosnia and Herzegovina,Kotlin,20.0
Bosnia and Herzegovina,Objective-C,2.0
Bosnia and Herzegovina,PHP,17.0
Bosnia and Herzegovina,Perl,2.0
Bosnia and Herzegovina,Python,35.0
Bosnia and Herzegovina,R,2.0
Bosnia and Herzegovina,Ruby,5.0
Bosnia and Herzegovina,Rust,7.0
Bosnia and Herzegovina,SQL,37.0
Bosnia and Herzegovina,Scala,4.0
Bosnia and Herzegovina,Swift,10.0
Bosnia and Herzegovina,TypeScript,29.0
Botswana,Assembly,1.0
Botswana,C,1.0
Botswana,C#,5.0
Botswana,C++,2.0
Botswana,Dart,2.0
Botswana,HTML/CSS,2.0
Botswana,Java,4.0
Botswana,JavaScript,4.0
Botswana,Kotlin,1.0
Botswana,Objective-C,1.0
Botswana,PHP,2.0
Botswana,Perl,2.0
Botswana,Python,3.0
Botswana,Ruby,1.0
Botswana,SQL,1.0
Botswana,Swift,3.0
Botswana,TypeScript,2.0
Botswana,VBA,1.0
Brazil,Assembly,62.0
Brazil,Bash/Shell/PowerShell,316.0
Brazil,C,169.0
Brazil,C#,359.0
Brazil,C++,246.0
Brazil,Dart,282.0
Brazil,Go,374.0
Brazil,HTML/CSS,702.0
Brazil,Haskell,77.0
Brazil,Java,389.0
Brazil,JavaScript,927.0
Brazil,Julia,53.0
Brazil,Kotlin,303.0
Brazil,Objective-C,27.0
Brazil,PHP,212.0
Brazil,Perl,15.0
Brazil,Python,814.0
Brazil,R,140.0
Brazil,Ruby,156.0
Brazil,Rust,246.0
Brazil,SQL,667.0
Brazil,Scala,95.0
Brazil,Swift,137.0
Brazil,TypeScript,534.0
Brazil,VBA,28.0
Brunei Darussalam,Assembly,1.0
Brunei Darussalam,Bash/Shell/PowerShell,1.0
Brunei Darussalam,C,1.0
Brunei Darussalam,C#,2.0
Brunei Darussalam,C++,1.0
Brunei Darussalam,Dart,2.0
Brunei Darussalam,Go,1.0
Brunei Darussalam,HTML/CSS,2.0
Brunei Darussalam,Haskell,2.0
Brunei Darussalam,Java,1.0
Brunei Darussalam,JavaScript,2.0
Brunei Darussalam,Julia,1.0
Brunei Darussalam,Kotlin,2.0
Brunei Darussalam,Objective-C,1.0
Brunei Darussalam,PHP,3.0
Brunei Darussalam,Perl,1.0
Brunei Darussalam,Python,3.0
Brunei Darussalam,R,1.0
Brunei Darussalam,Ruby,2.0
Brunei Darussalam,Rust,1.0
Brunei Darussalam,SQL,2.0
Brunei Darussalam,Scala,1.0
Brunei Darussalam,Swift,1.0
Brunei Darussalam,TypeScript,1.0
Brunei Darussalam,VBA,1.0
Bulgaria,Assembly,11.0
Bulgaria,Bash/Shell/PowerShell,44.0
Bulgaria,C,32.0
Bulgaria,C#,88.0
Bulgaria,C++,43.0
Bulgaria,Dart,11.0
Bulgaria,Go,48.0
Bulgaria,HTML/CSS,91.0
Bulgaria,Haskell,15.0
Bulgaria,Java,69.0
Bulgaria,JavaScript,141.0
Bulgaria,Julia,4.0
Bulgaria,Kotlin,28.0
Bulgaria,Objective-C,6.0
Bulgaria,PHP,46.0
Bulgaria,Perl,2.0
Bulgaria,Python,110.0
Bulgaria,R,12.0
Bulgaria,Ruby,14.0
Bulgaria,Rust,38.0
Bulgaria,SQL,109.0
Bulgaria,Scala,10.0
Bulgaria,Swift,16.0
Bulgaria,TypeScript,85.0
Bulgaria,VBA,5.0
Burkina Faso,Bash/Shell/PowerShell,1.0
Burkina Faso,C,1.0
Burkina Faso,HTML/CSS,2.0
Burkina Faso,JavaScript,2.0
Burkina Faso,Kotlin,1.0
Burkina Faso,PHP,1.0
Burkina Faso,Python,5.0
Burkina Faso,SQL,2.0
Burkina Faso,TypeScript,1.0
Burkina Faso,VBA,1.0
Cambodia,Assembly,1.0
Cambodia,Bash/Shell/PowerShell,2.0
Cambodia,C,3.0
Cambodia,C#,4.0
Cambodia,C++,3.0
Cambodia,Dart,7.0
Cambodia,Go,1.0
Cambodia,HTML/CSS,4.0
Cambodia,Haskell,1.0
Cambodia,Java,2.0
Cambodia,JavaScript,7.0
Cambodia,Kotlin,6.0
Cambodia,PHP,3.0
Cambodia,Python,10.0
Cambodia,R,1.0
Cambodia,Ruby,1.0
Cambodia,Rust,3.0
Cambodia,SQL,5.0
Cambodia,Swift,5.0
Cambodia,TypeScript,2.0
Cameroon,Assembly,1.0
Cameroon,Bash/Shell/PowerShell,3.0
Cameroon,C,2.0
Cameroon,C#,5.0
Cameroon,C++,8.0
Cameroon,Dart,10.0
Cameroon,Go,5.0
Cameroon,HTML/CSS,15.0
Cameroon,Haskell,1.0
Cameroon,Java,11.0
Cameroon,JavaScript,28.0
Cameroon,Kotlin,7.0
Cameroon,Objective-C,3.0
Cameroon,PHP,14.0
Cameroon,Perl,1.0
Cameroon,Python,25.0
Cameroon,R,3.0
Cameroon,Ruby,5.0
Cameroon,Rust,3.0
Cameroon,SQL,16.0
Cameroon,Scala,1.0
Cameroon,TypeScript,12.0
Cameroon,VBA,2.0
Canada,Assembly,107.0
Canada,Bash/Shell/PowerShell,462.0
Canada,C,231.0
Canada,C#,550.0
Canada,C++,394.0
Canada,Dart,110.0
Canada,Go,479.0
Canada,HTML/CSS,711.0
Canada,Haskell,104.0
Canada,Java,371.0
Canada,JavaScript,918.0
Canada,Julia,57.0
Canada,Kotlin,257.0
Canada,Objective-C,49.0
Canada,PHP,185.0
Canada,Perl,34.0
Canada,Python,969.0
Canada,R,109.0
Canada,Ruby,172.0
Canada,Rust,454.0
Canada,SQL,668.0
Canada,Scala,124.0
Canada,Swift,197.0
Canada,TypeScript,652.0
Canada,VBA,29.0
Cape Verde,HTML/CSS,1.0
Cape Verde,Java,1.0
Cape Verde,SQL,1.0
Chad,Python,1.0
Chad,R,1.0
Chile,Assembly,2.0
Chile,Bash/Shell/PowerShell,28.0
Chile,C,19.0
Chile,C#,27.0
Chile,C++,24.0
Chile,Dart,21.0
Chile,Go,43.0
Chile,HTML/CSS,58.0
Chile,Haskell,6.0
Chile,Java,24.0
Chile,JavaScript,74.0
Chile,Julia,10.0
Chile,Kotlin,25.0
Chile,Objective-C,5.0
Chile,PHP,18.0
Chile,Perl,3.0
Chile,Python,83.0
Chile,R,21.0
Chile,Ruby,18.0
Chile,Rust,22.0
Chile,SQL,53.0
Chile,Scala,10.0
Chile,Swift,11.0
Chile,TypeScript,50.0
Chile,VBA,4.0
China,Assembly,18.0
China,Bash/Shell/PowerShell,43.0
China,C,49.0
China,C#,45.0
China,C++,75.0
China,Dart,18.0
China,Go,67.0
China,HTML/CSS,81.0
China,Haskell,14.0
China,Java,89.0
China,JavaScript,105.0
China,Julia,11.0
China,Kotlin,45.0
China,Objective-C,11.0
China,PHP,26.0
China,Perl,5.0
China,Python,137.0
China,R,13.0
China,Ruby,14.0
China,Rust,46.0
China,SQL,65.0
China,Scala,16.0
China,Swift,25.0
China,TypeScript,64.0
China,VBA,6.0
Colombia,Assembly,3.0
Colombia,Bash/Shell/PowerShell,39.0
Colombia,C,14.0
Colombia,C#,50.0
Colombia,C++,34.0
Colombia,Dart,39.0
Colombia,Go,93.0
Colombia,HTML/CSS,107.0
Colombia,Haskell,7.0
Colombia,Java,64.0
Colombia,JavaScript,132.0
Colombia,Julia,3.0
Colombia,Kotlin,63.0
Colombia,Objective-C,8.0
Colombia,PHP,34.0
Colombia,Perl,3.0
Colombia,Python,142.0
Colombia,R,24.0
Colombia,Ruby,28.0
Colombia,Rust,37.0
Colombia,SQL,90.0
Colombia,Scala,22.0
Colombia,Swift,34.0
Colombia,TypeScript,88.0
Colombia,VBA,4.0
"Congo, Republic of the...",C,2.0
"Congo, Republic of the...",C#,3.0
"Congo, Republic of the...",C++,1.0
"Congo, Republic of the...",Dart,1.0
"Congo, Republic of the...",HTML/CSS,1.0
"Congo, Republic of the...",Java,5.0
"Congo, Republic of the...",JavaScript,2.0
"Congo, Republic of the...",Kotlin,1.0
"Congo, Republic of the...",Objective-C,1.0
"Congo, Republic of the...",Python,2.0
"Congo, Republic of the...",Ruby,1.0
"Congo, Republic of the...",Swift,1.0
"Congo, Republic of the...",TypeScript,1.0
Costa Rica,Assembly,5.0
Costa Rica,Bash/Shell/PowerShell,13.0
Costa Rica,C,10.0
Costa Rica,C#,11.0
Costa Rica,C++,13.0
Costa Rica,Dart,6.0
Costa Rica,Go,19.0
Costa Rica,HTML/CSS,23.0
Costa Rica,Haskell,4.0
Costa Rica,Java,11.0
Costa Rica,JavaScript,35.0
Costa Rica,Julia,2.0
Costa Rica,Kotlin,10.0
Costa Rica,PHP,2.0
Costa Rica,Python,36.0
Costa Rica,R,8.0
Costa Rica,Ruby,8.0
Costa Rica,Rust,17.0
Costa Rica,SQL,16.0
Costa Rica,Scala,2.0
Costa Rica,Swift,7.0
Costa Rica,TypeScript,17.0
Croatia,Assembly,3.0
Croatia,Bash/Shell/PowerShell,26.0
Croatia,C,13.0
Croatia,C#,59.0
Croatia,C++,28.0
Croatia,Dart,11.0
Croatia,Go,27.0
Croatia,HTML/CSS,71.0
Croatia,Haskell,8.0
Croatia,Java,23.0
Croatia,JavaScript,78.0
Croatia,Julia,2.0
Croatia,Kotlin,36.0
Croatia,Objective-C,4.0
Croatia,PHP,25.0
Croatia,Perl,1.0
Croatia,Python,54.0
Croatia,R,3.0
Croatia,Ruby,7.0
Croatia,Rust,28.0
Croatia,SQL,68.0
Croatia,Scala,10.0
Croatia,Swift,13.0
Croatia,TypeScript,56.0
Croatia,VBA,2.0
Cuba,C#,7.0
Cuba,C++,3.0
Cuba,Dart,1.0
Cuba,Go,3.0
Cuba,HTML/CSS,7.0
Cuba,Haskell,2.0
Cuba,Java,4.0
Cuba,JavaScript,8.0
Cuba,Kotlin,2.0
Cuba,Objective-C,1.0
Cuba,PHP,1.0
Cuba,Python,11.0
Cuba,Ruby,1.0
Cuba,Rust,4.0
Cuba,SQL,6.0
Cuba,Scala,1.0
Cuba,Swift,3.0
Cuba,TypeScript,6.0
Cyprus,Assembly,2.0
Cyprus,Bash/Shell/PowerShell,10.0
Cyprus,C,4.0
Cyprus,C#,12.0
Cyprus,C++,9.0
Cyprus,Dart,6.0
Cyprus,Go,8.0
Cyprus,HTML/CSS,19.0
Cyprus,Haskell,4.0
Cyprus,Java,11.0
Cyprus,JavaScript,21.0
Cyprus,Julia,2.0
Cyprus,Kotlin,9.0
Cyprus,PHP,6.0
Cyprus,Perl,1.0
Cyprus,Python,15.0
Cyprus,R,4.0
Cyprus,Ruby,2.0
Cyprus,Rust,10.0
Cyprus,SQL,18.0
Cyprus,Scala,2.0
Cyprus,Swift,6.0
Cyprus,TypeScript,12.0
Cyprus,VBA,1.0
Czech Republic,Assembly,19.0
Czech Republic,Bash/Shell/PowerShell,108.0
Czech Republic,C,53.0
Czech Republic,C#,149.0
Czech Republic,C++,93.0
Czech Republic,Dart,12.0
Czech Republic,Go,57.0
Czech Republic,HTML/CSS,162.0
Czech Republic,Haskell,21.0
Czech Republic,Java,89.0
Czech Republic,JavaScript,178.0
Czech Republic,Julia,6.0
Czech Republic,Kotlin,77.0
Czech Republic,Objective-C,6.0
Czech Republic,PHP,59.0
Czech Republic,Perl,9.0
Czech Republic,Python,195.0
Czech Republic,R,25.0
Czech Republic,Ruby,15.0
Czech Republic,Rust,92.0
Czech Republic,SQL,172.0
Czech Republic,Scala,15.0
Czech Republic,Swift,33.0
Czech Republic,TypeScript,136.0
Czech Republic,VBA,8.0
C̫te d'Ivoire,Bash/Shell/PowerShell,2.0
C̫te d'Ivoire,C,2.0
C̫te d'Ivoire,C#,3.0
C̫te d'Ivoire,C++,3.0
C̫te d'Ivoire,Go,1.0
C̫te d'Ivoire,HTML/CSS,7.0
C̫te d'Ivoire,Haskell,1.0
C̫te d'Ivoire,Java,9.0
C̫te d'Ivoire,JavaScript,6.0
C̫te d'Ivoire,Kotlin,2.0
C̫te d'Ivoire,PHP,7.0
C̫te d'Ivoire,Perl,2.0
C̫te d'Ivoire,Python,7.0
C̫te d'Ivoire,R,3.0
C̫te d'Ivoire,Ruby,1.0
C̫te d'Ivoire,Rust,1.0
C̫te d'Ivoire,SQL,3.0
C̫te d'Ivoire,Swift,3.0
C̫te d'Ivoire,TypeScript,2.0
Democratic Republic of the Congo,Bash/Shell/PowerShell,2.0
Democratic Republic of the Congo,Dart,1.0
Democratic Republic of the Congo,Go,1.0
Democratic Republic of the Congo,HTML/CSS,4.0
Democratic Republic of the Congo,Haskell,1.0
Democratic Republic of the Congo,Java,3.0
Democratic Republic of the Congo,JavaScript,3.0
Democratic Republic of the Congo,Julia,1.0
Democratic Republic of the Congo,Kotlin,2.0
Democratic Republic of the Congo,PHP,3.0
Democratic Republic of the Congo,Perl,1.0
Democratic Republic of the Congo,Python,4.0
Democratic Republic of the Congo,R,1.0
Democratic Republic of the Congo,Ruby,2.0
Democratic Republic of the Congo,Rust,2.0
Democratic Republic of the Congo,SQL,2.0
Democratic Republic of the Congo,Scala,1.0
Democratic Republic of the Congo,Swift,2.0
Democratic Republic of the Congo,TypeScript,3.0
Democratic Republic of the Congo,VBA,1.0
Denmark,Assembly,9.0
Denmark,Bash/Shell/PowerShell,95.0
Denmark,C,31.0
Denmark,C#,157.0
Denmark,C++,51.0
Denmark,Dart,20.0
Denmark,Go,59.0
Denmark,HTML/CSS,140.0
Denmark,Haskell,21.0
Denmark,Java,47.0
Denmark,JavaScript,157.0
Denmark,Julia,15.0
Denmark,Kotlin,34.0
Denmark,Objective-C,5.0
Denmark,PHP,38.0
Denmark,Perl,5.0
Denmark,Python,136.0
Denmark,R,30.0
Denmark,Ruby,13.0
Denmark,Rust,75.0
Denmark,SQL,134.0
Denmark,Scala,15.0
Denmark,Swift,29.0
Denmark,TypeScript,133.0
Denmark,VBA,10.0
Djibouti,C#,1.0
Djibouti,Go,1.0
Djibouti,HTML/CSS,1.0
Djibouti,Java,2.0
Djibouti,JavaScript,1.0
Djibouti,Kotlin,1.0
Djibouti,SQL,1.0
Dominican Republic,Bash/Shell/PowerShell,9.0
Dominican Republic,C,2.0
Dominican Republic,C#,22.0
Dominican Republic,C++,5.0
Dominican Republic,Dart,18.0
Dominican Republic,Go,22.0
Dominican Republic,HTML/CSS,32.0
Dominican Republic,Haskell,3.0
Dominican Republic,Java,14.0
Dominican Republic,JavaScript,41.0
Dominican Republic,Julia,2.0
Dominican Republic,Kotlin,19.0
Dominican Republic,Objective-C,2.0
Dominican Republic,PHP,11.0
Dominican Republic,Perl,2.0
Dominican Republic,Python,32.0
Dominican Republic,R,4.0
Dominican Republic,Ruby,4.0
Dominican Republic,Rust,6.0
Dominican Republic,SQL,26.0
Dominican Republic,Scala,1.0
Dominican Republic,Swift,16.0
Dominican Republic,TypeScript,35.0
Dominican Republic,VBA,1.0
Ecuador,Assembly,1.0
Ecuador,Bash/Shell/PowerShell,4.0
Ecuador,C#,12.0
Ecuador,C++,4.0
Ecuador,Dart,10.0
Ecuador,Go,8.0
Ecuador,HTML/CSS,24.0
Ecuador,Haskell,1.0
Ecuador,Java,13.0
Ecuador,JavaScript,30.0
Ecuador,Julia,1.0
Ecuador,Kotlin,11.0
Ecuador,Objective-C,2.0
Ecuador,PHP,8.0
Ecuador,Perl,1.0
Ecuador,Python,23.0
Ecuador,R,6.0
Ecuador,Ruby,5.0
Ecuador,Rust,7.0
Ecuador,SQL,21.0
Ecuador,Scala,2.0
Ecuador,Swift,4.0
Ecuador,TypeScript,19.0
Egypt,Assembly,19.0
Egypt,Bash/Shell/PowerShell,22.0
Egypt,C,29.0
Egypt,C#,56.0
Egypt,C++,52.0
Egypt,Dart,37.0
Egypt,Go,32.0
Egypt,HTML/CSS,73.0
Egypt,Haskell,8.0
Egypt,Java,66.0
Egypt,JavaScript,97.0
Egypt,Julia,6.0
Egypt,Kotlin,39.0
Egypt,Objective-C,10.0
Egypt,PHP,41.0
Egypt,Perl,5.0
Egypt,Python,92.0
Egypt,R,14.0
Egypt,Ruby,24.0
Egypt,Rust,27.0
Egypt,SQL,75.0
Egypt,Scala,12.0
Egypt,Swift,26.0
Egypt,TypeScript,60.0
Egypt,VBA,7.0
El Salvador,Assembly,1.0
El Salvador,Bash/Shell/PowerShell,4.0
El Salvador,C,2.0
El Salvador,C#,2.0
El Salvador,C++,2.0
El Salvador,Dart,1.0
El Salvador,Go,5.0
El Salvador,HTML/CSS,10.0
