Country,Age,AgeCount
Bangladesh,Under 18 years old,7.0
Barbados,25 - 34 years old,2.0
Barbados,35 - 44 years old,1.0
Belarus,18 - 24 years old,67.0
Belarus,25 - 34 years old,97.0
Belarus,35 - 44 years old,26.0
Belarus,Under 18 years old,3.0
Belgium,18 - 24 years old,124.0
Belgium,25 - 34 years old,266.0
Belgium,35 - 44 years old,103.0
Belgium,45 - 54 years old,30.0
Belgium,55 - 64 years old,8.0
Belgium,Under 18 years old,13.0
Belize,18 - 24 years old,1.0
Benin,18 - 24 years old,4.0
Benin,35 - 44 years old,1.0
Bhutan,18 - 24 years old,1.0
Bhutan,25 - 34 years old,1.0
Bhutan,Under 18 years old,1.0
Bolivia,18 - 24 years old,6.0
Bolivia,25 - 34 years old,14.0
Bolivia,35 - 44 years old,2.0
Bolivia,45 - 54 years old,1.0
Bolivia,Under 18 years old,1.0
Bosnia and Herzegovina,18 - 24 years old,30.0
Bosnia and Herzegovina,25 - 34 years old,45.0
Bosnia and Herzegovina,35 - 44 years old,5.0
Bosnia and Herzegovina,55 - 64 years old,1.0
Bosnia and Herzegovina,Under 18 years old,1.0
Botswana,18 - 24 years old,1.0
Botswana,25 - 34 years old,1.0
Botswana,45 - 54 years old,1.0
Brazil,18 - 24 years old,472.0
Brazil,25 - 34 years old,788.0
Brazil,35 - 44 years old,232.0
Brazil,45 - 54 years old,42.0
Brazil,55 - 64 years old,14.0
Brazil,Under 18 years old,33.0
Bulgaria,18 - 24 years old,65.0
Bulgaria,25 - 34 years old,165.0
Bulgaria,35 - 44 years old,52.0
Bulgaria,45 - 54 years old,4.0
Bulgaria,55 - 64 years old,2.0
Bulgaria,Under 18 years old,8.0
Burundi,25 - 34 years old,1.0
Cambodia,18 - 24 years old,12.0
Cambodia,25 - 34 years old,12.0
Cambodia,35 - 44 years old,1.0
Cameroon,18 - 24 years old,12.0
Cameroon,25 - 34 years old,9.0
Cameroon,35 - 44 years old,2.0
Cameroon,45 - 54 years old,1.0
Canada,18 - 24 years old,491.0
Canada,25 - 34 years old,1108.0
Canada,35 - 44 years old,542.0
Canada,45 - 54 years old,167.0
Canada,55 - 64 years old,50.0
Canada,65 years or older,10.0
Canada,Under 18 years old,92.0
Cape Verde,18 - 24 years old,1.0
Chile,18 - 24 years old,21.0
Chile,25 - 34 years old,81.0
Chile,35 - 44 years old,30.0
Chile,45 - 54 years old,4.0
Chile,55 - 64 years old,1.0
Chile,Under 18 years old,4.0
China,18 - 24 years old,113.0
China,25 - 34 years old,229.0
China,35 - 44 years old,54.0
China,45 - 54 years old,3.0
China,55 - 64 years old,1.0
China,Under 18 years old,12.0
Colombia,18 - 24 years old,78.0
Colombia,25 - 34 years old,121.0
Colombia,35 - 44 years old,30.0
Colombia,45 - 54 years old,7.0
Colombia,Under 18 years old,4.0
"Congo, Republic of the...",18 - 24 years old,2.0
"Congo, Republic of the...",25 - 34 years old,2.0
Costa Rica,18 - 24 years old,27.0
Costa Rica,25 - 34 years old,31.0
Costa Rica,35 - 44 years old,7.0
Costa Rica,45 - 54 years old,3.0
Croatia,18 - 24 years old,36.0
Croatia,25 - 34 years old,70.0
Croatia,35 - 44 years old,34.0
Croatia,45 - 54 years old,10.0
Croatia,55 - 64 years old,1.0
Croatia,65 years or older,1.0
Croatia,Under 18 years old,2.0
Cuba,18 - 24 years old,7.0
Cuba,25 - 34 years old,31.0
Cuba,35 - 44 years old,6.0
Cuba,55 - 64 years old,1.0
Cyprus,18 - 24 years old,5.0
Cyprus,25 - 34 years old,21.0
Cyprus,35 - 44 years old,8.0
Cyprus,45 - 54 years old,1.0
Czech Republic,18 - 24 years old,116.0
Czech Republic,25 - 34 years old,280.0
Czech Republic,35 - 44 years old,107.0
Czech Republic,45 - 54 years old,19.0
Czech Republic,55 - 64 years old,3.0
Czech Republic,Under 18 years old,23.0
C̫te d'Ivoire,18 - 24 years old,2.0
C̫te d'Ivoire,25 - 34 years old,3.0
Democratic Republic of the Congo,25 - 34 years old,2.0
Denmark,18 - 24 years old,76.0
Denmark,25 - 34 years old,231.0
Denmark,35 - 44 years old,102.0
Denmark,45 - 54 years old,40.0
Denmark,55 - 64 years old,9.0
Denmark,65 years or older,2.0
Denmark,Under 18 years old,8.0
Dominica,25 - 34 years old,1.0
Dominican Republic,18 - 24 years old,21.0
Dominican Republic,25 - 34 years old,40.0
Dominican Republic,35 - 44 years old,6.0
Dominican Republic,45 - 54 years old,2.0
Dominican Republic,Under 18 years old,1.0
Ecuador,18 - 24 years old,7.0
Ecuador,25 - 34 years old,15.0
Ecuador,35 - 44 years old,10.0
Ecuador,45 - 54 years old,1.0
Ecuador,55 - 64 years old,1.0
Ecuador,Under 18 years old,2.0
Egypt,18 - 24 years old,81.0
Egypt,25 - 34 years old,104.0
Egypt,35 - 44 years old,14.0
Egypt,45 - 54 years old,1.0
Egypt,65 years or older,1.0
Egypt,Under 18 years old,6.0
El Salvador,18 - 24 years old,5.0
El Salvador,25 - 34 years old,19.0
El Salvador,35 - 44 years old,2.0
El Salvador,45 - 54 years old,1.0
El Salvador,Under 18 years old,3.0
Eritrea,25 - 34 years old,1.0
Estonia,18 - 24 years old,35.0
Estonia,25 - 34 years old,82.0
Estonia,35 - 44 years old,14.0
Estonia,45 - 54 years old,5.0
Estonia,55 - 64 years old,1.0
Estonia,65 years or older,1.0
Estonia,Under 18 years old,3.0
Ethiopia,18 - 24 years old,11.0
Ethiopia,25 - 34 years old,13.0
Ethiopia,35 - 44 years old,1.0
Fiji,18 - 24 years old,2.0
Fiji,25 - 34 years old,3.0
Fiji,35 - 44 years old,1.0
Fiji,55 - 64 years old,1.0
Finland,18 - 24 years old,55.0
Finland,25 - 34 years old,187.0
Finland,35 - 44 years old,109.0
Finland,45 - 54 years old,18.0
Finland,65 years or older,1.0
Finland,Under 18 years old,9.0
France,18 - 24 years old,464.0
France,25 - 34 years old,883.0
France,35 - 44 years old,281.0
France,45 - 54 years old,80.0
France,55 - 64 years old,19.0
France,65 years or older,5.0
France,Under 18 years old,21.0
Gabon,25 - 34 years old,1.0
Gambia,25 - 34 years old,2.0
Georgia,18 - 24 years old,20.0
Georgia,25 - 34 years old,15.0
Georgia,35 - 44 years old,2.0
Georgia,Under 18 years old,3.0
Germany,18 - 24 years old,1044.0
Germany,25 - 34 years old,2141.0
Germany,35 - 44 years old,869.0
Germany,45 - 54 years old,228.0
Germany,55 - 64 years old,65.0
Germany,65 years or older,9.0
Germany,Under 18 years old,141.0
Ghana,18 - 24 years old,16.0
Ghana,25 - 34 years old,27.0
Greece,18 - 24 years old,64.0
Greece,25 - 34 years old,163.0
Greece,35 - 44 years old,103.0
Greece,45 - 54 years old,16.0
Greece,55 - 64 years old,4.0
Greece,65 years or older,1.0
Greece,Under 18 years old,9.0
Grenada,25 - 34 years old,1.0
Guatemala,18 - 24 years old,8.0
Guatemala,25 - 34 years old,17.0
Guatemala,35 - 44 years old,3.0
Guatemala,45 - 54 years old,1.0
Guatemala,55 - 64 years old,1.0
Guatemala,65 years or older,1.0
Guyana,18 - 24 years old,2.0
Haiti,25 - 34 years old,1.0
Haiti,35 - 44 years old,1.0
Honduras,18 - 24 years old,5.0
Honduras,25 - 34 years old,9.0
Honduras,35 - 44 years old,2.0
Hong Kong (S.A.R.),18 - 24 years old,38.0
Hong Kong (S.A.R.),25 - 34 years old,70.0
Hong Kong (S.A.R.),35 - 44 years old,28.0
Hong Kong (S.A.R.),45 - 54 years old,3.0
Hong Kong (S.A.R.),Under 18 years old,8.0
Hungary,18 - 24 years old,52.0
Hungary,25 - 34 years old,168.0
Hungary,35 - 44 years old,74.0
Hungary,45 - 54 years old,10.0
Hungary,55 - 64 years old,2.0
Hungary,Under 18 years old,7.0
Iceland,18 - 24 years old,3.0
Iceland,25 - 34 years old,15.0
Iceland,35 - 44 years old,10.0
Iceland,45 - 54 years old,2.0
Iceland,Under 18 years old,1.0
India,18 - 24 years old,2590.0
India,25 - 34 years old,3562.0
India,35 - 44 years old,285.0
India,45 - 54 years old,32.0
India,55 - 64 years old,3.0
India,65 years or older,5.0
India,Under 18 years old,122.0
Indonesia,18 - 24 years old,151.0
Indonesia,25 - 34 years old,128.0
Indonesia,35 - 44 years old,23.0
Indonesia,45 - 54 years old,2.0
Indonesia,Under 18 years old,15.0
"Iran, Islamic Republic of...",18 - 24 years old,125.0
"Iran, Islamic Republic of...",25 - 34 years old,311.0
"Iran, Islamic Republic of...",35 - 44 years old,51.0
"Iran, Islamic Republic of...",45 - 54 years old,3.0
"Iran, Islamic Republic of...",Under 18 years old,9.0
Iraq,18 - 24 years old,7.0
Iraq,25 - 34 years old,7.0
Iraq,55 - 64 years old,1.0
Ireland,18 - 24 years old,59.0
Ireland,25 - 34 years old,182.0
Ireland,35 - 44 years old,106.0
Ireland,45 - 54 years old,23.0
Ireland,55 - 64 years old,9.0
Ireland,65 years or older,1.0
Ireland,Under 18 years old,8.0
Israel,18 - 24 years old,88.0
Israel,25 - 34 years old,332.0
Israel,35 - 44 years old,178.0
Israel,45 - 54 years old,28.0
Israel,55 - 64 years old,6.0
Israel,65 years or older,3.0
Israel,Under 18 years old,22.0
Italy,18 - 24 years old,205.0
Italy,25 - 34 years old,450.0
Italy,35 - 44 years old,253.0
Italy,45 - 54 years old,81.0
Italy,55 - 64 years old,25.0
Italy,65 years or older,1.0
Italy,Under 18 years old,33.0
Jamaica,18 - 24 years old,4.0
Jamaica,25 - 34 years old,5.0
Jamaica,35 - 44 years old,1.0
Jamaica,45 - 54 years old,2.0
Jamaica,Under 18 years old,1.0
Japan,18 - 24 years old,27.0
Japan,25 - 34 years old,137.0
Japan,35 - 44 years old,58.0
Japan,45 - 54 years old,16.0
Japan,55 - 64 years old,3.0
Japan,Under 18 years old,3.0
Jordan,18 - 24 years old,10.0
Jordan,25 - 34 years old,29.0
Jordan,35 - 44 years old,5.0
Jordan,45 - 54 years old,1.0
Kazakhstan,18 - 24 years old,18.0
Kazakhstan,25 - 34 years old,36.0
Kazakhstan,35 - 44 years old,4.0
Kazakhstan,45 - 54 years old,1.0
Kenya,18 - 24 years old,41.0
Kenya,25 - 34 years old,67.0
Kenya,35 - 44 years old,4.0
Kenya,45 - 54 years old,1.0
Kuwait,18 - 24 years old,2.0
Kuwait,25 - 34 years old,9.0
Kuwait,35 - 44 years old,2.0
Kyrgyzstan,18 - 24 years old,5.0
Kyrgyzstan,25 - 34 years old,8.0
Latvia,18 - 24 years old,26.0
Latvia,25 - 34 years old,59.0
Latvia,35 - 44 years old,17.0
Latvia,45 - 54 years old,1.0
Latvia,55 - 64 years old,1.0
Latvia,Under 18 years old,2.0
Lebanon,18 - 24 years old,28.0
Lebanon,25 - 34 years old,34.0
Lebanon,35 - 44 years old,3.0
Lebanon,55 - 64 years old,1.0
Lebanon,Under 18 years old,1.0
Lesotho,25 - 34 years old,2.0
Liberia,25 - 34 years old,1.0
Libyan Arab Jamahiriya,18 - 24 years old,3.0
Libyan Arab Jamahiriya,25 - 34 years old,2.0
Libyan Arab Jamahiriya,35 - 44 years old,2.0
Libyan Arab Jamahiriya,45 - 54 years old,1.0
Liechtenstein,18 - 24 years old,1.0
Liechtenstein,25 - 34 years old,2.0
Lithuania,18 - 24 years old,43.0
Lithuania,25 - 34 years old,99.0
Lithuania,35 - 44 years old,21.0
Lithuania,45 - 54 years old,2.0
Lithuania,55 - 64 years old,1.0
Lithuania,Under 18 years old,4.0
Luxembourg,18 - 24 years old,8.0
Luxembourg,25 - 34 years old,31.0
Luxembourg,35 - 44 years old,7.0
Luxembourg,45 - 54 years old,1.0
Luxembourg,Under 18 years old,1.0
Madagascar,18 - 24 years old,2.0
Madagascar,25 - 34 years old,7.0
Madagascar,35 - 44 years old,2.0
Madagascar,45 - 54 years old,1.0
Malawi,18 - 24 years old,1.0
Malawi,25 - 34 years old,2.0
Malaysia,18 - 24 years old,60.0
Malaysia,25 - 34 years old,125.0
Malaysia,35 - 44 years old,30.0
Malaysia,45 - 54 years old,7.0
Malaysia,55 - 64 years old,1.0
Malaysia,Under 18 years old,4.0
Maldives,18 - 24 years old,2.0
Maldives,25 - 34 years old,3.0
Maldives,45 - 54 years old,2.0
Mali,25 - 34 years old,1.0
Malta,18 - 24 years old,17.0
Malta,25 - 34 years old,25.0
Malta,35 - 44 years old,4.0
Malta,55 - 64 years old,1.0
Mauritania,65 years or older,1.0
Mauritius,18 - 24 years old,6.0
Mauritius,25 - 34 years old,11.0
Mauritius,35 - 44 years old,2.0
Mexico,18 - 24 years old,120.0
Mexico,25 - 34 years old,253.0
Mexico,35 - 44 years old,69.0
Mexico,45 - 54 years old,13.0
Mexico,55 - 64 years old,4.0
Mexico,65 years or older,3.0
Mexico,Under 18 years old,6.0
Monaco,45 - 54 years old,1.0
Mongolia,18 - 24 years old,3.0
Mongolia,25 - 34 years old,7.0
Mongolia,35 - 44 years old,2.0
Montenegro,18 - 24 years old,2.0
Montenegro,25 - 34 years old,4.0
Montenegro,35 - 44 years old,1.0
Montenegro,Under 18 years old,1.0
Morocco,18 - 24 years old,51.0
Morocco,25 - 34 years old,49.0
Morocco,35 - 44 years old,9.0
Morocco,Under 18 years old,1.0
Mozambique,18 - 24 years old,8.0
Mozambique,25 - 34 years old,5.0
Myanmar,18 - 24 years old,10.0
Myanmar,25 - 34 years old,14.0
Myanmar,35 - 44 years old,1.0
Namibia,25 - 34 years old,3.0
Namibia,45 - 54 years old,1.0
Namibia,Under 18 years old,1.0
Nauru,45 - 54 years old,1.0
Nepal,18 - 24 years old,99.0
Nepal,25 - 34 years old,56.0
Nepal,35 - 44 years old,2.0
Nepal,55 - 64 years old,1.0
Nepal,Under 18 years old,1.0
Netherlands,18 - 24 years old,322.0
Netherlands,25 - 34 years old,581.0
Netherlands,35 - 44 years old,253.0
Netherlands,45 - 54 years old,77.0
Netherlands,55 - 64 years old,33.0
Netherlands,65 years or older,1.0
Netherlands,Under 18 years old,30.0
New Zealand,18 - 24 years old,79.0
New Zealand,25 - 34 years old,156.0
New Zealand,35 - 44 years old,94.0
New Zealand,45 - 54 years old,47.0
New Zealand,55 - 64 years old,10.0
New Zealand,65 years or older,2.0
New Zealand,Under 18 years old,23.0
Nicaragua,18 - 24 years old,10.0
Nicaragua,25 - 34 years old,4.0
Nicaragua,35 - 44 years old,2.0
Nicaragua,45 - 54 years old,1.0
Niger,25 - 34 years old,1.0
Nigeria,18 - 24 years old,107.0
Nigeria,25 - 34 years old,98.0
Nigeria,35 - 44 years old,16.0
Nigeria,55 - 64 years old,1.0
Nigeria,65 years or older,1.0
Nigeria,Under 18 years old,5.0
Norway,18 - 24 years old,57.0
Norway,25 - 34 years old,196.0
Norway,35 - 44 years old,111.0
Norway,45 - 54 years old,42.0
Norway,55 - 64 years old,6.0
Norway,Under 18 years old,10.0
Oman,18 - 24 years old,4.0
Oman,25 - 34 years old,6.0
Oman,35 - 44 years old,2.0
Oman,45 - 54 years old,2.0
Oman,Under 18 years old,1.0
Other Country (Not Listed Above),18 - 24 years old,13.0
Other Country (Not Listed Above),25 - 34 years old,24.0
Other Country (Not Listed Above),35 - 44 years old,10.0
Other Country (Not Listed Above),45 - 54 years old,5.0
Other Country (Not Listed Above),55 - 64 years old,1.0
Other Country (Not Listed Above),65 years or older,1.0
Other Country (Not Listed Above),Under 18 years old,3.0
Pakistan,18 - 24 years old,278.0
Pakistan,25 - 34 years old,244.0
Pakistan,35 - 44 years old,27.0
Pakistan,45 - 54 years old,1.0
Pakistan,55 - 64 years old,1.0
Pakistan,Under 18 years old,11.0
Panama,18 - 24 years old,5.0
Panama,25 - 34 years old,11.0
Panama,35 - 44 years old,4.0
Panama,45 - 54 years old,2.0
Panama,Under 18 years old,1.0
Paraguay,18 - 24 years old,6.0
Paraguay,25 - 34 years old,19.0
Paraguay,35 - 44 years old,4.0
Paraguay,45 - 54 years old,1.0
Paraguay,Under 18 years old,2.0
Peru,18 - 24 years old,21.0
Peru,25 - 34 years old,39.0
Peru,35 - 44 years old,8.0
Peru,45 - 54 years old,2.0
Peru,Under 18 years old,2.0
Philippines,18 - 24 years old,146.0
Philippines,25 - 34 years old,99.0
Philippines,35 - 44 years old,22.0
Philippines,45 - 54 years old,3.0
Philippines,55 - 64 years old,2.0
Philippines,Under 18 years old,3.0
Poland,18 - 24 years old,350.0
Poland,25 - 34 years old,849.0
Poland,35 - 44 years old,160.0
Poland,45 - 54 years old,15.0
Poland,55 - 64 years old,2.0
Poland,65 years or older,1.0
Poland,Under 18 years old,22.0
Portugal,18 - 24 years old,89.0
Portugal,25 - 34 years old,201.0
Portugal,35 - 44 years old,59.0
Portugal,45 - 54 years old,11.0
Portugal,55 - 64 years old,1.0
Portugal,65 years or older,1.0
Portugal,Under 18 years old,6.0
Qatar,25 - 34 years old,7.0
Republic of Korea,18 - 24 years old,9.0
Republic of Korea,25 - 34 years old,7.0
Republic of Korea,35 - 44 years old,5.0
Republic of Korea,45 - 54 years old,1.0
Republic of Korea,65 years or older,1.0
Republic of Korea,Under 18 years old,3.0
Republic of Moldova,18 - 24 years old,12.0
Republic of Moldova,25 - 34 years old,29.0
Republic of Moldova,35 - 44 years old,3.0
Republic of Moldova,45 - 54 years old,2.0
Republic of Moldova,Under 18 years old,2.0
Romania,18 - 24 years old,113.0
Romania,25 - 34 years old,325.0
Romania,35 - 44 years old,80.0
Romania,45 - 54 years old,16.0
Romania,55 - 64 years old,1.0
Romania,Under 18 years old,21.0
Russian Federation,18 - 24 years old,480.0
Russian Federation,25 - 34 years old,973.0
Russian Federation,35 - 44 years old,211.0
Russian Federation,45 - 54 years old,35.0
Russian Federation,55 - 64 years old,6.0
Russian Federation,65 years or older,5.0
Russian Federation,Under 18 years old,57.0
Rwanda,18 - 24 years old,3.0
Rwanda,25 - 34 years old,3.0
Rwanda,55 - 64 years old,1.0
Saint Lucia,25 - 34 years old,1.0
Saudi Arabia,18 - 24 years old,17.0
Saudi Arabia,25 - 34 years old,34.0
Saudi Arabia,35 - 44 years old,13.0
Saudi Arabia,45 - 54 years old,1.0
Saudi Arabia,Under 18 years old,2.0
Senegal,18 - 24 years old,1.0
Senegal,25 - 34 years old,6.0
Senegal,35 - 44 years old,1.0
Serbia,18 - 24 years old,60.0
Serbia,25 - 34 years old,131.0
Serbia,35 - 44 years old,38.0
Serbia,45 - 54 years old,10.0
Serbia,Under 18 years old,9.0
Sierra Leone,25 - 34 years old,1.0
Singapore,18 - 24 years old,52.0
Singapore,25 - 34 years old,137.0
Singapore,35 - 44 years old,28.0
Singapore,45 - 54 years old,4.0
Singapore,55 - 64 years old,1.0
Singapore,Under 18 years old,12.0
Slovakia,18 - 24 years old,45.0
Slovakia,25 - 34 years old,80.0
Slovakia,35 - 44 years old,25.0
Slovakia,45 - 54 years old,5.0
Slovakia,55 - 64 years old,1.0
Slovakia,Under 18 years old,9.0
Slovenia,18 - 24 years old,38.0
Slovenia,25 - 34 years old,81.0
Slovenia,35 - 44 years old,30.0
Slovenia,45 - 54 years old,8.0
Slovenia,Under 18 years old,2.0
Somalia,18 - 24 years old,2.0
Somalia,25 - 34 years old,2.0
Somalia,45 - 54 years old,1.0
South Africa,18 - 24 years old,85.0
South Africa,25 - 34 years old,244.0
South Africa,35 - 44 years old,98.0
South Africa,45 - 54 years old,25.0
South Africa,55 - 64 years old,8.0
South Africa,Under 18 years old,3.0
South Korea,18 - 24 years old,18.0
South Korea,25 - 34 years old,39.0
South Korea,35 - 44 years old,21.0
South Korea,45 - 54 years old,3.0
South Korea,55 - 64 years old,2.0
South Korea,Under 18 years old,4.0
Spain,18 - 24 years old,217.0
Spain,25 - 34 years old,577.0
Spain,35 - 44 years old,282.0
Spain,45 - 54 years old,60.0
Spain,55 - 64 years old,5.0
Spain,65 years or older,2.0
Spain,Under 18 years old,8.0
Sri Lanka,18 - 24 years old,81.0
Sri Lanka,25 - 34 years old,158.0
Sri Lanka,35 - 44 years old,8.0
Sri Lanka,45 - 54 years old,1.0
Sri Lanka,Under 18 years old,2.0
Sudan,18 - 24 years old,7.0
Sudan,25 - 34 years old,6.0
Suriname,35 - 44 years old,1.0
Swaziland,25 - 34 years old,2.0
Sweden,18 - 24 years old,117.0
Sweden,25 - 34 years old,463.0
Sweden,35 - 44 years old,214.0
Sweden,45 - 54 years old,48.0
Sweden,55 - 64 years old,8.0
Sweden,65 years or older,1.0
Sweden,Under 18 years old,17.0
Switzerland,18 - 24 years old,162.0
Switzerland,25 - 34 years old,310.0
Switzerland,35 - 44 years old,157.0
Switzerland,45 - 54 years old,40.0
Switzerland,55 - 64 years old,10.0
Switzerland,65 years or older,3.0
Switzerland,Under 18 years old,17.0
Syrian Arab Republic,18 - 24 years old,11.0
Syrian Arab Republic,25 - 34 years old,9.0
Syrian Arab Republic,35 - 44 years old,3.0
Taiwan,18 - 24 years old,15.0
Taiwan,25 - 34 years old,60.0
Taiwan,35 - 44 years old,19.0
Taiwan,55 - 64 years old,1.0
Taiwan,Under 18 years old,1.0
Tajikistan,25 - 34 years old,3.0
Thailand,18 - 24 years old,23.0
Thailand,25 - 34 years old,68.0
Thailand,35 - 44 years old,18.0
Thailand,45 - 54 years old,6.0
Thailand,Under 18 years old,2.0
The former Yugoslav Republic of Macedonia,18 - 24 years old,9.0
The former Yugoslav Republic of Macedonia,25 - 34 years old,23.0
The former Yugoslav Republic of Macedonia,35 - 44 years old,3.0
The former Yugoslav Republic of Macedonia,Under 18 years old,1.0
Togo,35 - 44 years old,2.0
Trinidad and Tobago,18 - 24 years old,1.0
Trinidad and Tobago,25 - 34 years old,12.0
Trinidad and Tobago,35 - 44 years old,3.0
Tunisia,18 - 24 years old,22.0
Tunisia,25 - 34 years old,42.0
Tunisia,35 - 44 years old,3.0
Turkey,18 - 24 years old,114.0
Turkey,25 - 34 years old,332.0
Turkey,35 - 44 years old,102.0
Turkey,45 - 54 years old,9.0
Turkey,55 - 64 years old,5.0
Turkey,65 years or older,1.0
Turkey,Under 18 years old,9.0
Turkmenistan,25 - 34 years old,2.0
Turkmenistan,Under 18 years old,1.0
Uganda,18 - 24 years old,10.0
Uganda,25 - 34 years old,23.0
Uganda,35 - 44 years old,2.0
Uganda,Under 18 years old,2.0
Ukraine,18 - 24 years old,253.0
Ukraine,25 - 34 years old,340.0
Ukraine,35 - 44 years old,85.0
Ukraine,45 - 54 years old,7.0
Ukraine,Under 18 years old,22.0
United Arab Emirates,18 - 24 years old,20.0
United Arab Emirates,25 - 34 years old,70.0
United Arab Emirates,35 - 44 years old,13.0
United Arab Emirates,45 - 54 years old,4.0
United Arab Emirates,55 - 64 years old,1.0
United Arab Emirates,Under 18 years old,6.0
United Kingdom,18 - 24 years old,861.0
United Kingdom,25 - 34 years old,2055.0
United Kingdom,35 - 44 years old,1076.0
United Kingdom,45 - 54 years old,363.0
United Kingdom,55 - 64 years old,97.0
United Kingdom,65 years or older,24.0
United Kingdom,Under 18 years old,144.0
United Republic of Tanzania,18 - 24 years old,9.0
United Republic of Tanzania,25 - 34 years old,14.0
United Republic of Tanzania,35 - 44 years old,2.0
United States,18 - 24 years old,2613.0
United States,25 - 34 years old,7221.0
United States,35 - 44 years old,3489.0
United States,45 - 54 years old,1334.0
United States,55 - 64 years old,458.0
United States,65 years or older,82.0
United States,Under 18 years old,404.0
Uruguay,18 - 24 years old,13.0
Uruguay,25 - 34 years old,35.0
Uruguay,35 - 44 years old,15.0
Uruguay,45 - 54 years old,1.0
Uruguay,65 years or older,1.0
Uruguay,Under 18 years old,1.0
Uzbekistan,18 - 24 years old,10.0
Uzbekistan,25 - 34 years old,15.0
Uzbekistan,35 - 44 years old,2.0
Uzbekistan,Under 18 years old,3.0
"Venezuela, Bolivarian Republic of...",18 - 24 years old,34.0
"Venezuela, Bolivarian Republic of...",25 - 34 years old,28.0
"Venezuela, Bolivarian Republic of...",35 - 44 years old,7.0
"Venezuela, Bolivarian Republic of...",45 - 54 years old,5.0
"Venezuela, Bolivarian Republic of...",Under 18 years old,6.0
Viet Nam,18 - 24 years old,59.0
Viet Nam,25 - 34 years old,69.0
Viet Nam,35 - 44 years old,10.0
Viet Nam,45 - 54 years old,2.0
Viet Nam,Under 18 years old,4.0
Yemen,18 - 24 years old,2.0
Yemen,25 - 34 years old,5.0
Zambia,18 - 24 years old,2.0
Zambia,25 - 34 years old,2.0
Zambia,45 - 54 years old,1.0
Zimbabwe,18 - 24 years old,12.0
Zimbabwe,25 - 34 years old,13.0
Zimbabwe,35 - 44 years old,1.0
Zimbabwe,55 - 64 years old,1.0
