Country,Gender,GenderCount
Kenya,"Man;Non-binary, genderqueer, or gender non-conforming",1.0
Kenya,Woman,11.0
Kenya,Woman;Man,1.0
Kuwait,Man,18.0
Kuwait,Woman,2.0
Kyrgyzstan,Man,18.0
Kyrgyzstan,"Man;Non-binary, genderqueer, or gender non-conforming",1.0
Lao People's Democratic Republic,Man,3.0
Latvia,Man,123.0
Latvia,Woman,8.0
Lebanon,Man,99.0
Lebanon,"Non-binary, genderqueer, or gender non-conforming",2.0
Lebanon,Woman,10.0
Lesotho,Man,3.0
Liberia,Man,2.0
Libyan Arab Jamahiriya,Man,7.0
Libyan Arab Jamahiriya,Woman,1.0
Liechtenstein,Man,3.0
Lithuania,Man,216.0
Lithuania,"Man;Non-binary, genderqueer, or gender non-conforming",2.0
Lithuania,"Non-binary, genderqueer, or gender non-conforming",1.0
Lithuania,Woman,16.0
Luxembourg,Man,61.0
Madagascar,Man,13.0
Madagascar,Woman,2.0
Malawi,Man,2.0
Malaysia,Man,238.0
Malaysia,"Man;Non-binary, genderqueer, or gender non-conforming",1.0
Malaysia,"Non-binary, genderqueer, or gender non-conforming",2.0
Malaysia,Woman,38.0
Malaysia,"Woman;Man;Non-binary, genderqueer, or gender non-conforming",1.0
Maldives,Man,10.0
Maldives,Woman,1.0
Mali,Man,3.0
Malta,Man,53.0
Malta,Woman,11.0
Mauritania,Man,7.0
Mauritius,Man,20.0
Mauritius,"Man;Non-binary, genderqueer, or gender non-conforming",1.0
Mauritius,Woman,5.0
Mexico,Man,583.0
Mexico,"Man;Non-binary, genderqueer, or gender non-conforming",1.0
Mexico,"Non-binary, genderqueer, or gender non-conforming",4.0
Mexico,Woman,38.0
Mexico,Woman;Man,3.0
Mexico,"Woman;Non-binary, genderqueer, or gender non-conforming",1.0
Monaco,Man,4.0
Mongolia,Man,17.0
Montenegro,Man,15.0
Montenegro,Woman,2.0
Morocco,Man,128.0
Morocco,Woman,14.0
Morocco,Woman;Man,1.0
Morocco,"Woman;Man;Non-binary, genderqueer, or gender non-conforming",1.0
Mozambique,Man,6.0
Mozambique,Woman,1.0
Myanmar,Man,40.0
Myanmar,"Non-binary, genderqueer, or gender non-conforming",2.0
Myanmar,Woman,8.0
Myanmar,"Woman;Man;Non-binary, genderqueer, or gender non-conforming",1.0
Namibia,Man,2.0
Namibia,Woman,3.0
Nepal,Man,217.0
Nepal,"Man;Non-binary, genderqueer, or gender non-conforming",1.0
Nepal,"Non-binary, genderqueer, or gender non-conforming",1.0
Nepal,Woman,10.0
Netherlands,Man,1676.0
Netherlands,"Man;Non-binary, genderqueer, or gender non-conforming",4.0
Netherlands,"Non-binary, genderqueer, or gender non-conforming",11.0
Netherlands,Woman,108.0
Netherlands,Woman;Man,1.0
Netherlands,"Woman;Non-binary, genderqueer, or gender non-conforming",3.0
New Zealand,Man,473.0
New Zealand,"Non-binary, genderqueer, or gender non-conforming",2.0
New Zealand,Woman,31.0
New Zealand,"Woman;Man;Non-binary, genderqueer, or gender non-conforming",1.0
New Zealand,"Woman;Non-binary, genderqueer, or gender non-conforming",3.0
Nicaragua,Man,28.0
Nicaragua,Woman,2.0
Niger,Man,1.0
Nigeria,Man,468.0
Nigeria,"Non-binary, genderqueer, or gender non-conforming",2.0
Nigeria,Woman,35.0
Nigeria,Woman;Man,1.0
Nigeria,"Woman;Non-binary, genderqueer, or gender non-conforming",1.0
Norway,Man,526.0
Norway,"Non-binary, genderqueer, or gender non-conforming",2.0
Norway,Woman,28.0
Norway,Woman;Man,2.0
Norway,"Woman;Man;Non-binary, genderqueer, or gender non-conforming",2.0
Oman,Man,9.0
Oman,Woman,1.0
Other Country (Not Listed Above),Man,102.0
Other Country (Not Listed Above),Woman,11.0
Other Country (Not Listed Above),"Woman;Man;Non-binary, genderqueer, or gender non-conforming",2.0
Pakistan,Man,818.0
Pakistan,"Non-binary, genderqueer, or gender non-conforming",2.0
Pakistan,Woman,44.0
Pakistan,Woman;Man,8.0
Pakistan,"Woman;Non-binary, genderqueer, or gender non-conforming",2.0
Panama,Man,31.0
Panama,Woman,1.0
Papua New Guinea,Man,1.0
Paraguay,Man,47.0
Paraguay,Woman,3.0
Paraguay,Woman;Man,1.0
Peru,Man,122.0
Peru,Woman,5.0
Philippines,Man,313.0
Philippines,"Non-binary, genderqueer, or gender non-conforming",3.0
Philippines,Woman,46.0
Philippines,Woman;Man,1.0
Philippines,"Woman;Man;Non-binary, genderqueer, or gender non-conforming",1.0
Poland,Man,1757.0
Poland,"Man;Non-binary, genderqueer, or gender non-conforming",2.0
Poland,"Non-binary, genderqueer, or gender non-conforming",4.0
Poland,Woman,108.0
Poland,Woman;Man,3.0
Poland,"Woman;Non-binary, genderqueer, or gender non-conforming",1.0
Portugal,Man,482.0
Portugal,"Man;Non-binary, genderqueer, or gender non-conforming",2.0
Portugal,"Non-binary, genderqueer, or gender non-conforming",1.0
Portugal,Woman,27.0
Portugal,Woman;Man,1.0
Portugal,"Woman;Man;Non-binary, genderqueer, or gender non-conforming",1.0
Portugal,"Woman;Non-binary, genderqueer, or gender non-conforming",1.0
Qatar,Man,11.0
Qatar,"Non-binary, genderqueer, or gender non-conforming",1.0
Qatar,Woman,1.0
Republic of Korea,Man,30.0
Republic of Korea,Woman,4.0
Republic of Moldova,Man,39.0
Republic of Moldova,Woman,2.0
Romania,Man,646.0
Romania,"Non-binary, genderqueer, or gender non-conforming",3.0
Romania,Woman,96.0
Russian Federation,Man,1543.0
Russian Federation,"Man;Non-binary, genderqueer, or gender non-conforming",3.0
Russian Federation,"Non-binary, genderqueer, or gender non-conforming",7.0
Russian Federation,Woman,93.0
Russian Federation,Woman;Man,2.0
Russian Federation,"Woman;Man;Non-binary, genderqueer, or gender non-conforming",1.0
Russian Federation,"Woman;Non-binary, genderqueer, or gender non-conforming",4.0
Rwanda,Man,12.0
Saint Kitts and Nevis,Woman,1.0
Saint Vincent and the Grenadines,Woman,1.0
San Marino,Man,2.0
Sao Tome and Principe,Man,1.0
Saudi Arabia,Man,82.0
Saudi Arabia,Woman,10.0
Saudi Arabia,Woman;Man,1.0
Saudi Arabia,"Woman;Man;Non-binary, genderqueer, or gender non-conforming",1.0
Senegal,Man,21.0
Serbia,Man,339.0
Serbia,Woman,48.0
Serbia,"Woman;Man;Non-binary, genderqueer, or gender non-conforming",1.0
Serbia,"Woman;Non-binary, genderqueer, or gender non-conforming",2.0
Seychelles,Man,2.0
Sierra Leone,Man,1.0
Singapore,Man,265.0
Singapore,"Man;Non-binary, genderqueer, or gender non-conforming",3.0
Singapore,"Non-binary, genderqueer, or gender non-conforming",3.0
Singapore,Woman,21.0
Slovakia,Man,237.0
Slovakia,"Non-binary, genderqueer, or gender non-conforming",1.0
Slovakia,Woman,14.0
Slovenia,Man,270.0
Slovenia,Woman,19.0
Somalia,Man,13.0
South Africa,Man,561.0
South Africa,"Man;Non-binary, genderqueer, or gender non-conforming",2.0
South Africa,"Non-binary, genderqueer, or gender non-conforming",4.0
South Africa,Woman,44.0
South Africa,Woman;Man,2.0
South Korea,Man,137.0
South Korea,Woman,13.0
South Korea,Woman;Man,2.0
Spain,Man,1485.0
Spain,"Non-binary, genderqueer, or gender non-conforming",5.0
Spain,Woman,79.0
Spain,"Woman;Man;Non-binary, genderqueer, or gender non-conforming",1.0
Spain,"Woman;Non-binary, genderqueer, or gender non-conforming",1.0
Sri Lanka,Man,315.0
Sri Lanka,"Man;Non-binary, genderqueer, or gender non-conforming",1.0
Sri Lanka,"Non-binary, genderqueer, or gender non-conforming",3.0
Sri Lanka,Woman,30.0
Sri Lanka,Woman;Man,2.0
Sudan,Man,36.0
Sudan,Woman,4.0
Sudan,Woman;Man,1.0
Swaziland,Man,6.0
Swaziland,"Non-binary, genderqueer, or gender non-conforming",1.0
Sweden,Man,1162.0
Sweden,"Man;Non-binary, genderqueer, or gender non-conforming",6.0
Sweden,"Non-binary, genderqueer, or gender non-conforming",5.0
Sweden,Woman,66.0
Sweden,"Woman;Man;Non-binary, genderqueer, or gender non-conforming",1.0
Sweden,"Woman;Non-binary, genderqueer, or gender non-conforming",3.0
Switzerland,Man,895.0
Switzerland,"Man;Non-binary, genderqueer, or gender non-conforming",2.0
Switzerland,"Non-binary, genderqueer, or gender non-conforming",7.0
Switzerland,Woman,33.0
Switzerland,Woman;Man,1.0
Syrian Arab Republic,Man,25.0
Syrian Arab Republic,Woman,1.0
Syrian Arab Republic,Woman;Man,2.0
Taiwan,Man,158.0
Taiwan,"Non-binary, genderqueer, or gender non-conforming",2.0
Taiwan,Woman,15.0
Tajikistan,Man,6.0
Thailand,Man,180.0
Thailand,"Non-binary, genderqueer, or gender non-conforming",7.0
Thailand,Woman,13.0
Thailand,Woman;Man,1.0
Thailand,"Woman;Man;Non-binary, genderqueer, or gender non-conforming",1.0
Thailand,"Woman;Non-binary, genderqueer, or gender non-conforming",2.0
The former Yugoslav Republic of Macedonia,Man,48.0
The former Yugoslav Republic of Macedonia,Woman,5.0
Timor-Leste,Woman,1.0
Togo,Man,4.0
Trinidad and Tobago,Man,17.0
Trinidad and Tobago,Woman,1.0
Tunisia,Man,99.0
Tunisia,Woman,15.0
Tunisia,Woman;Man,2.0
Turkey,Man,857.0
Turkey,"Man;Non-binary, genderqueer, or gender non-conforming",2.0
Turkey,"Non-binary, genderqueer, or gender non-conforming",8.0
Turkey,Woman,41.0
Turkey,Woman;Man,3.0
Turkey,"Woman;Man;Non-binary, genderqueer, or gender non-conforming",1.0
Turkmenistan,Man,6.0
Turkmenistan,"Non-binary, genderqueer, or gender non-conforming",1.0
Uganda,Man,66.0
Uganda,Woman,5.0
Uganda,"Woman;Man;Non-binary, genderqueer, or gender non-conforming",1.0
Ukraine,Man,781.0
Ukraine,"Man;Non-binary, genderqueer, or gender non-conforming",3.0
Ukraine,"Non-binary, genderqueer, or gender non-conforming",1.0
Ukraine,Woman,65.0
Ukraine,Woman;Man,1.0
Ukraine,"Woman;Man;Non-binary, genderqueer, or gender non-conforming",1.0
United Arab Emirates,Man,140.0
United Arab Emirates,Woman,12.0
United Kingdom,Man,5060.0
United Kingdom,"Man;Non-binary, genderqueer, or gender non-conforming",13.0
United Kingdom,"Non-binary, genderqueer, or gender non-conforming",47.0
United Kingdom,Woman,426.0
United Kingdom,Woman;Man,3.0
United Kingdom,"Woman;Man;Non-binary, genderqueer, or gender non-conforming",4.0
United Kingdom,"Woman;Non-binary, genderqueer, or gender non-conforming",12.0
United Republic of Tanzania,Man,30.0
United Republic of Tanzania,Woman,2.0
United States,Man,17700.0
United States,"Man;Non-binary, genderqueer, or gender non-conforming",59.0
United States,"Non-binary, genderqueer, or gender non-conforming",218.0
United States,Woman,2092.0
United States,Woman;Man,16.0
United States,"Woman;Man;Non-binary, genderqueer, or gender non-conforming",15.0
United States,"Woman;Non-binary, genderqueer, or gender non-conforming",77.0
Uruguay,Man,99.0
Uruguay,"Non-binary, genderqueer, or gender non-conforming",1.0
Uruguay,Woman,7.0
Uruguay,"Woman;Non-binary, genderqueer, or gender non-conforming",1.0
Uzbekistan,Man,33.0
Uzbekistan,Woman,1.0
"Venezuela, Bolivarian Republic of...",Man,86.0
"Venezuela, Bolivarian Republic of...",Woman,1.0
Viet Nam,Man,190.0
Viet Nam,"Non-binary, genderqueer, or gender non-conforming",6.0
Viet Nam,Woman,12.0
Viet Nam,Woman;Man,1.0
Viet Nam,"Woman;Man;Non-binary, genderqueer, or gender non-conforming",2.0
Yemen,Man,18.0
Yemen,Woman;Man,1.0
Zambia,Man,11.0
Zambia,Woman,1.0
Zimbabwe,Man,37.0
Zimbabwe,Woman,2.0
